Strength,筋力
Path of the Shadow,シャドウの道
Dexterity and Intelligence,器用さおよび知性
Shadow Ascendancy,シャドウアセンダンシー
Path of the Templar,テンプラーの道
Strength and Intelligence,筋力および知性
Templar Ascendancy,テンプラーアセンダンシー
Poison Damage and Poison Damage Multiplier,Poison Damage and Poison Damage Multiplier
Fatal Toxins,致死毒
Poison Damage and Duration,Poison Damage and Duration
Trap Throwing Speed and Trigger Area,トラップ投擲スピード・発動範囲
Expeditious Munitions,迅速な弾薬
Overcharged,オーバーチャージ
Charge on Kill,撃破時チャージ獲得
Bleed Damage and Bleed Damage Multiplier,Bleed Damage and Bleed Damage Multiplier
Bleed Damage Multiplier and Bleed Chance,Bleed Damage Multiplier and Bleed Chance
Red Storm,Red Storm
Damage and Energy Shield,ダメージおよびエナジーシールド
Attack and Minion Damage,アタックおよびミニオンダメージ
Impale Effect and Attack Speed,Impale Effect and Attack Speed
Impale Chance and Physical Attack Damage,串刺し確率および物理アタックダメージ
Forceful Skewering,強力な刺突
Brand Damage and Range,Brand Damage and Range
Brand Frequency and Duration,Brand Frequency and Duration
Runesmith,ルーンスミス
Brand Mastery,ブランドマスタリー
Light Eater,光を喰らう者
Channelling Speed,チャネリングスピード
Lucidity,明晰さ
Dual Wield Cast Speed,二刀流キャストスピード
Dual Wield Cast Speed and Movement Skill Cooldown Recovery,二刀流キャストスピードおよび移動スキルクールダウン短縮
Dual Wield Spell Damage and Movement Speed,二刀流スペルダメージおよび移動スピード
Dark Arts,闇の術
Arcane Dual Wield Mastery,Arcane Dual Wield Mastery
Dual Wield Attack and Cast Speed and Block,二刀流アタック・キャストスピードおよびブロック
Dual Wield Spell Damage and Attack and Cast Speed,Dual Wield Spell Damage and Attack and Cast Speed
Dual Wield Spell Damage and Spell Block,二刀流スペルダメージおよびスペルブロック
Mysticism,神秘主義
Staff Spell Damage and Chaos Resistance,Staff Spell Damage and Chaos Resistance
Staff Spell Damage,スタッフスペルダメージ
Staff Spell Damage and Spell Block,スタッフスペルダメージおよびスペルブロック
Staff Spell Damage and Block,スタッフスペルダメージおよびブロック
Enigmatic Defence,謎めいた防御
Arcane Staff Mastery,Arcane Staff Mastery
Staff Area of Effect,スタッフ効果範囲
Staff Area of Effect and Attack and Cast Speed,Staff Area of Effect and Attack and Cast Speed
Enigmatic Reach,謎めいた領域
Shield Spell Damage,シールド装備時のスペルダメージ
Shield Spell Damage and Spell Block,シールド装備時スペルダメージおよびスペルブロック
"Shield Spell Damage, Block Recovery and Energy Shield","Shield Spell Damage, Block Recovery and Energy Shield"
Arcane Guarding,アーケインガード
Arcane Shield Mastery,Arcane Shield Mastery
Shield Spell Damage and Block,Shield Spell Damage and Block
Shield Spell Damage and Cast Speed,Shield Spell Damage and Cast Speed
Arcane Swiftness,Arcane Swiftness
Spell Area of Effect and Damage,Spell Area of Effect and Damage
Arcane Expanse,アーケインエクスパンス
Evasion and Movement Speed,回避力および移動スピード
Evasion and Movement Skill Cooldown Recovery,回避力および移動スキルクールダウン短縮
Fleetfoot,俊足
Evasion and Phasing,回避力および透明化
Freedom of Movement,移動の自由
Armour and Endurance Charges,Armour and Endurance Charges
Inexorable,動かざる者
Armour and Guard Skill Cooldown Recovery,アーマーおよびガードスキルクールダウン短縮
Guard Skill Cooldown Recovery and Physical Damage Reduction,Guard Skill Cooldown Recovery and Physical Damage Reduction
Adamant,断固たる
Dismembering,八つ裂き
Fortify Effect and Melee Damage,Fortify Effect and Melee Damage
Fortify Effect and Armour,Fortify Effect and Armour
Steadfast,不動の
Channelling Attack Speed and Stun Avoidance,Channelling Attack Speed and Stun Avoidance
Unpredictable Offensive,Unpredictable Offensive
Impale Effect,串刺し効果
Impale Chance,串刺し確率
Swift Skewering,Swift Skewering
Impale Mastery,串刺しマスタリー
Damage and Critical Strikes against Blinded Enemies,Damage and Critical Strikes against Blinded Enemies
Blind Chance,盲目付与確率
Dazzling Strikes,燦爛たる一撃
Attack Blind Mastery,Attack Blind Mastery
Movement Speed per Frenzy Charge,フレンジーチャージごとに移動スピード
Evasion per Frenzy Charge,フレンジーチャージごとに回避力
Attack Speed per Frenzy Charge,フレンジーチャージごとにアタックスピード
Disciple of the Slaughter,虐殺の使徒
Stun Duration per Endurance Charge,エンデュランスチャージごとにスタン持続時間
Area of Effect per Endurance Charge,エンデュランスチャージごとに効果範囲
Disciple of the Unyielding,不屈の使徒
Frenzy and Endurance Charge Mastery,Frenzy and Endurance Charge Mastery
Projectile Attack Damage,Projectile Attack Damage
Projectile Attack Damage and Speed,投射物アタックダメージ・スピード
Projectile Speed and Attack Damage,Projectile Speed and Attack Damage
Longshot,ロングショット
Projectile Attack Mastery,Projectile Attack Mastery
Utmost Swiftness,最高の素早さ
Utmost Might,最高の力
Axe Damage and Accuracy,斧ダメージおよび命中
Harvester of Foes,敵を刈る者
Axe Damage and Critical Strike Chance,斧ダメージおよびクリティカル率
Feller of Foes,敵を伐る者
Mace Damage and Accuracy,メイスダメージおよび命中
Mace Accuracy and Attack Speed,メイス命中およびアタックスピード
Bludgeon Blitz,Bludgeon Blitz
Mace Damage and Critical Strike Multiplier,Mace Damage and Critical Strike Multiplier
Mace Damage and Critical Strike Chance,メイスダメージおよびクリティカル率
Blacksmith's Clout,鍛冶屋の鍛錬
Spinecruncher,スパインクランチャー
Sword Damage and Area of Effect,Sword Damage and Area of Effect
Bladedancer,ブレイドダンサー
Two Handed Melee Damage and Stun Duration,両手武器近接ダメージおよびスタン持続時間
Two Handed Melee Damage and Reduced Enemy Stun Threshold,両手武器近接ダメージおよび敵スタン閾値低下
Kinetic Impacts,動体の衝突
Shield Damage and Defences,盾装備時ダメージおよび防御力
Shield Damage and Block,盾装備時ダメージおよびブロック率
Aggressive Bastion,攻撃的城壁
Staff Damage and Block,スタッフダメージ・ブロック
Staff Damage and Armour,スタッフダメージ・アーマー
Steelwood Stance,鋼木の構え
Cursed Concoction,Cursed Concoction
Mana and Spell Damage,マナおよびスペルダメージ
Prodigal Perfection,浪費によりなされた完成
Mana and Spell Block,マナおよびスペルブロック率
Mystic Bulwark,神秘の砦
Golem Life and Buff Effect,ゴーレムライフおよびバフ効果
Golem Commander,ゴーレムコマンダー
Mana Flasks and Flask Duration,Mana Flasks and Flask Duration
Aqueous Accelerant,Aqueous Accelerant
Mine Damage and Area of Effect,Mine Damage and Area of Effect
Blast Waves,爆風
Efficient Explosives,高性能爆弾
Dire Torment,悲惨な苦痛
Critical Ailment Damage Over Time Multiplier,クリティカル時状態異常継続ダメージ倍率
Spell Critical Strike Chance and Critical Ignite Damage Multiplier,Spell Critical Strike Chance and Critical Ignite Damage Multiplier
Searing Heat,灼熱の熱
Way of the Warrior,戦士の道
Hardened Scars,固まった傷跡
Cleansed Thoughts,浄化された思考
Aspect of Stone,石の化身
Deadly Inclinations,殺しの傾向
Mystic Talents,神秘的な才能
Thunderous Salvos,Thunderous Salvos
Vengeant Cascade,復讐の連鎖
Tribal Fury,部族の怒り
Tenacity,不撓不屈
Tranquility,静寂
Crusader,クルセイダー
"Physical Attack Damage, Warcry Speed","Physical Attack Damage, Warcry Speed"
"Life Regeneration, Endurance Charge on Kill","Life Regeneration, Endurance Charge on Kill"
"Life Regeneration, Area of Effect","Life Regeneration, Area of Effect"
Position Proxy,ポジションプロキシ
Small Jewel Socket,ジュエルソケット (小)
Medium Jewel Socket,ジュエルソケット (中)
Elemental Damage and Ailment Effect,Elemental Damage and Ailment Effect
Large Jewel Socket,ジュエルソケット (大)
Persistence,不屈
"Totem Attack and Cast Speed, Brand Cast Speed",トーテムアタック・キャストスピードおよびブランドキャストスピード
Basic Jewel Socket,基本ジュエルソケット
Exerted Attack Damage,奮起アタックダメージ
Warcry Cooldown Recovery,ウォークライクールダウン短縮
Warcry Speed and Exerted Attack Damage,ウォークライスピードおよび奮起アタックダメージ
Escalation,エスカレーション
Warcry Mastery,ウォークライマスタリー
Staff Elemental Damage and Penetration,スタッフ元素ダメージ・耐性貫通
Impale Effect with Two Handed Weapons,両手武器串刺し効果
Impale Duration and Chance with Two Handed Weapons,Impale Duration and Chance with Two Handed Weapons
Harpooner,銛を打つ者
Warcry Speed and Duration,Warcry Speed and Duration
Warcry Cooldown Recovery and Duration,Warcry Cooldown Recovery and Duration
Warcry Speed and Area of Effect,Warcry Speed and Area of Effect
Warcry Cooldown Recovery and Area of Effect,ウォークライクールダウン解消および効果範囲
Natural Authority,天性の威厳
Channelling Damage and Infusion Effect,Channelling Damage and Infusion Effect
Strikes Mastery,Strikes Mastery
Melee Damage and Strike Range,近接ダメージおよびストライク範囲
Melee Damage and Splash Area of Effect,近接ダメージ・スプラッシュ効果範囲
"Staff Damage, Stun Duration and Block","Staff Damage, Stun Duration and Block"
"Staff Damage, Armour and Stun Threshold","Staff Damage, Armour and Stun Threshold"
Mace Critical Strike Multiplier,メイスクリティカルダメージ倍率
Fire Damage and Area of Effect,火ダメージおよび効果範囲
Fire Damage and Cast Speed,火ダメージおよびキャストスピード
Chance to Ignite and Ignite Speed,Chance to Ignite and Ignite Speed
Armour and Life,アーマーおよびライフ
Deep Breaths,深呼吸
Totem Attack and Cast Speed,トーテムアタック・キャストスピード
Totem Damage and Placement Speed,トーテムダメージ・設置スピード
"Totem Life, Duration and Elemental Resistances","Totem Life, Duration and Elemental Resistances"
"Totem Life, Duration and Physical Damage Reduction","Totem Life, Duration and Physical Damage Reduction"
Cold Damage and Cold Ailment Effect,冷気ダメージおよび冷気系状態異常効果
Lightning Damage and Lightning Ailment Effect,Lightning Damage and Lightning Ailment Effect
Bannerman,旗手
Aura Duration,Aura Duration
Chill and Freeze Resistance,冷却および凍結耐性
Ignite Resistance,発火耐性
Shock Resistance,感電耐性
Anointed Flesh,聖別されし肉体
Chaos Damage and Withered Expiry Rate,混沌ダメージおよび衰弱効果消失速度
Chaos Damage Penetration,Chaos Damage Penetration
Wand Elemental Damage and Penetration,ワンド元素ダメージ・耐性貫通
Combat Control,Combat Control
Mana and Guard Skill Duration,Mana and Guard Skill Duration
Mana and Guard Skill Cooldown Recovery,マナおよびガードスキルクールダウン短縮
Seal Generation Speed,シール生成速度
Bleed Damage and Chance,出血ダメージおよび出血確率
Curse and Power Charge Mastery,Curse and Power Charge Mastery
Faster Doom Gain,Faster Doom Gain
Admonisher,忠告者
Warcry Speed,ウォークライスピード
Warcry Speed and Cooldown Recovery,Warcry Speed and Cooldown Recovery
"Axe Damage and Accuracy, Impale Chance","Axe Damage and Accuracy, Impale Chance"
Mana Regeneration and Increased Mana Cost,Mana Regeneration and Increased Mana Cost
Forethought,用心
Mana Regeneration and Reduced Mana Cost,マナ自動回復およびマナコスト低下
Mana Cost Mastery,Mana Cost Mastery
Attack Speed and Rage ,Attack Speed and Rage 
Damage against Cursed Enemies,呪われた敵に対してのダメージ
Reduced Mana Reservation of Curse Skills,Reduced Mana Reservation of Curse Skills
Warcry Cooldown Recovery and Exerted Attack Damage,ウォークライクールダウン短縮および奮起アタックダメージ
Measured Fury,慎重な怒り
Physical Damage and Reflect Damage Taken,Physical Damage and Reflect Damage Taken
Risk Awareness,Risk Awareness
Totem Damage and Attack Speed,Totem Damage and Attack Speed
Surveillance,監視
Panopticon,Panopticon
Totem Life and Physical Damage Reduction,Totem Life and Physical Damage Reduction
"Fire Damage, Ignite Chance and Ignite Duration","Fire Damage, Ignite Chance and Ignite Duration"
Two Handed Melee Accuracy,両手武器近接命中
Mana and Aura Area of Effect,マナおよびオーラ効果範囲
Brand Duration,ブランド持続時間
Brand Equity,ブランドイクイティ
Brand Recall Cooldown Recovery,ブランドリコールクールダウン短縮
Guard Skill Cooldown Recovery and Duration,Guard Skill Cooldown Recovery and Duration
"Avoid Interruption while Casting, Strength and Dexterity","Avoid Interruption while Casting, Strength and Dexterity"
Lightning Damage and Lightning Ailment Duration,Lightning Damage and Lightning Ailment Duration
Damage while you have a Herald,ヘラルド使用時ダメージ
Herald Buff Effect,ヘラルドバフ効果
Herald Mastery,ヘラルドマスタリー
Discord Artisan,不調和の職人
Reduced Mana Reservation of Heralds,Reduced Mana Reservation of Heralds
Duration Mastery,持続時間マスタリー
Reduced Skill Duration,スキル持続時間減少
Window of Opportunity,絶好の機会
"Cold Damage, Cold Ailment Duration","Cold Damage, Cold Ailment Duration"
"Cold Damage, Cold Damage Over Time Multiplier, Cold Ailment Effect","Cold Damage, Cold Damage Over Time Multiplier, Cold Ailment Effect"
Gladiatoral Combat,Gladiatoral Combat
Wand Damage and Attack Speed,ワンドダメージおよびアタックスピード
Stance Skill Cooldown Recovery,スタンススキルクールダウン解消
Area of Effect in Sand Stance and Damage in Blood Stance,Area of Effect in Sand Stance and Damage in Blood Stance
Versatile Stance,Versatile Stance
Two Handed Melee Critical Strike Multiplier and Accuracy,Two Handed Melee Critical Strike Multiplier and Accuracy
Elemental Damage and Reflect Damage Taken,Elemental Damage and Reflect Damage Taken
Exposure Tolerance,Exposure Tolerance
Shield Block,盾ブロック
Shock Chance and Lightning Ailment Effect,Shock Chance and Lightning Ailment Effect
"Shock Chance, Lightning Ailment Effect and Duration","Shock Chance, Lightning Ailment Effect and Duration"
Axe Attack Speed and Rage,Axe Attack Speed and Rage
"Physical Bow Damage, Chance to Bleed and Faster Bleed","Physical Bow Damage, Chance to Bleed and Faster Bleed"
Sword Damage and Melee Range,剣ダメージおよび近接攻撃距離
Damage if Consumed a Corpse,死体消費時のダメージ
Corpse Life,死体のライフ
Corpses Mastery,Corpses Mastery
Undertaker,埋葬人
Weapon Fire Damage and Ignite Chance,Weapon Fire Damage and Ignite Chance
"Weapon Fire Damage, Ignite Duration and Ignite Chance","Weapon Fire Damage, Ignite Duration and Ignite Chance"
Weapon Fire Damage and Burning Damage Multiplier,Weapon Fire Damage and Burning Damage Multiplier
Ignite Attacks Mastery,Ignite Attacks Mastery
Burning Brutality,燃える蛮行
Area Spells Mastery,Area Spells Mastery
Intensity,猛烈
Damage against Marked Enemy,呪印を付与した敵に対するダメージ
Marked for Death,死の呪印
Lightning Damage and Cast Speed,雷ダメージおよびキャストスピード
Chaos Damage Over Time Multiplier,混沌継続ダメージ倍率
Brand Damage and Cast Speed,Brand Damage and Cast Speed
Brand Damage and Duration,ブランドダメージおよび持続時間
Brand Range and Brand Recall Cooldown Recovery,ブランド範囲およびブランドリコールクールダウン短縮
Life and Elemental Ailment Avoidance,ライフおよび元素系状態異常無効化確率
Chance to Poison and Poison Damage Multiplier,Chance to Poison and Poison Damage Multiplier
Chance to Poison with Spells,スペル毒付与確率
Poison Damage and Cast Speed,毒ダメージおよびキャストスピード
Poison Damage Multiplier with Spells,Poison Damage Multiplier with Spells
Serpentine Spellslinger,猛毒の魔法使い
Bow Attack Speed and Accuracy,弓アタックスピードおよび命中
One Handed Damage,片手武器ダメージ
Elemental Resistance with Shields and Shield Defences,Elemental Resistance with Shields and Shield Defences
Critical Strike Chance against Marked Enemy,Critical Strike Chance against Marked Enemy
Marked Enemy Reduced Accuracy,Marked Enemy Reduced Accuracy
Mark the Prey,獲物の呪印
Mark Mastery,呪印マスタリー
Adjacent Animosity,隣接の敵意
Weapon Lightning Damage and Lightning Ailment Effect,Weapon Lightning Damage and Lightning Ailment Effect
Weapon Lightning Damage and Shock Chance,Weapon Lightning Damage and Shock Chance
Shocking Strikes,Shocking Strikes
"Bow Damage, Chance to Poison and Faster Poison","Bow Damage, Chance to Poison and Faster Poison"
Evasion and Elusive Effect,Evasion and Elusive Effect
No Witnesses,目撃者なし
Shield Cast Speed,シールド装備時のキャストスピード
Poison Chance,毒確率
Poison Damage and Chance,毒ダメージおよび付与確率
Poison Damage,毒ダメージ
Claw Accuracy and Critical Strike Multiplier,Claw Accuracy and Critical Strike Multiplier
"Cold Damage, Freeze Chance, Cold Ailment Effect","Cold Damage, Freeze Chance, Cold Ailment Effect"
"Cold Damage, Cold Ailment Effect and Duration","Cold Damage, Cold Ailment Effect and Duration"
Totem Critical Strike Chance and Multiplier,トーテムクリティカル率およびダメージ倍率
Totem Attack and Placement Speed,Totem Attack and Placement Speed
Watchtowers,監視塔
Sword Damage and Block,剣ダメージおよびブロック
Trick Shot,トリックショット
Split Shot,スプリットショット
Projectile Damage and Forking Angle,Projectile Damage and Forking Angle
Projectile Damage and Pierce,Projectile Damage and Pierce
Damage for Chaining Hits and Chain Distance,連鎖後ダメージおよび連鎖距離
Projectile Damage and Chance for Extra Fork Projectile,Projectile Damage and Chance for Extra Fork Projectile
Projectile Damage per Enemy Pierced,貫通ごとの投射物ダメージ
Prodigious Defence,驚異的な防御
Advance Guard,前衛
Gladiatorial Combat,剣闘士の戦い
Strike Leader,ストライクリーダー
Powerful Ward,強き守り
Enduring Ward,不屈の守り
Gladiator's Fortitude,剣闘士の剛勇
Precise Retaliation,正確な報復
Veteran Defender,ベテラン・ディフェンダー
Iron Breaker,アイアンブレイカー
Deep Cuts,深い傷
Master the Fundamentals,基礎の習得
Force Multiplier,フォースマルチプライヤー
Furious Assault,怒り狂った暴行
Vicious Skewering,残忍な刺突
Grim Oath,冷酷な誓い
Battle-Hardened,百戦錬磨
Replenishing Presence,満たす存在
Master of Command,指揮の熟練者
First Among Equals,First Among Equals
Purposeful Harbinger,目的をもつ先駆者
Precise Commander,Precise Commander
Pure Commander,Pure Commander
Stalwart Commander,Stalwart Commander
Vengeful Commander,Vengeful Commander
Skullbreaker,スカルブレイカー
Pressure Points,プレッシャー・ポイント
Overwhelming Malice,圧倒的な悪意
Magnifier,拡大する者
Savage Response,野蛮な反応
Eye of the Storm,台風の目
Basics of Pain,痛みの基礎
Quick Getaway,素早い逃走
Assert Dominance,優位の主張
Vast Power,広大な力
Powerful Assault,強力な暴行
Titanic Swings,巨人の一振り
Towering Threat,高くそびえる脅威
Ancestral Echo,先祖の反響
Ancestral Reach,先祖の届く範囲
Ancestral Might,先祖の勢力
Ancestral Preservation,先祖の維持
Snaring Spirits,捕える精霊
Sleepless Sentries,不眠の哨兵
Ancestral Guidance,先祖の指導
Ancestral Inspiration,先祖の霊感
Vital Focus,命の焦点
Rapid Infusion,Rapid Infusion
Unwavering Focus,揺ぎ無い集中
Enduring Focus,永続する集中
Precise Focus,正確な集中
Stoic Focus,冷静な集中
Hex Breaker,ヘックスブレイカー
Arcane Adept,アーケーンアデプト
Distilled Perfection,ディスティルドパーフェクション
Spiked Concoction,酒入り調合薬
Fasting,断食
Mender's Wellspring,修理屋の水源
Special Reserve,とっておき
Numbing Elixir,しびれ薬
Mob Mentality,暴徒の意識
Cry Wolf,オオカミ少年
Haunting Shout,耳に残る叫び
Lead By Example,手本
Provocateur,陽動者
Warning Call,警告
Rattling Bellow,威嚇
Bloodscent,血の臭い
Run Through,突破
Wound Aggravation,重傷
Overlord,オーバーロード
Expansive Might,膨張する力
Weight Advantage,ウェイトアドバンテージ
Wind-up,ねじ巻き
Fan of Blades,刃の扇
Disease Vector,病原媒介者
Arcing Shot,曲射
Tempered Arrowheads,鍛えられた鏃
Broadside,斉射
Explosive Force,爆発する力
Opportunistic Fusilade,機を見た斉射
Storm's Hand,嵐の手
Battlefield Dominator,戦場の支配者
Martial Mastery,マーシャルマスタリー
Surefooted Striker,足取り確かな攻撃者
Graceful Execution,優美な処刑
Brutal Infamy,野蛮な行い
Fearsome Warrior,恐怖の戦士
Combat Rhythm,コンバットリズム
Hit and Run,ヒットエンドラン
Insatiable Killer,貪欲な殺し屋
Mage Bane,魔術師泣かせ
Martial Momentum,戦争の機運
Deadly Repartee,死の応酬
Quick and Deadly,クイックアンドデッドリー
Smite the Weak,弱きを打つ
Heavy Hitter,ヘビーヒッター
Martial Prowess,武勇
Calamitous,カラミティウス
Devastator,壊す者
Fuel the Fight,闘争心
Drive the Destruction,破滅への道
Feed the Fury,高まる怒り
Seal Mender,シールメンダー
Conjured Wall,魔法の壁
Arcane Heroism,アーケーンヒロイズム
Practiced Caster,熟練魔導士
Burden Projection,負荷の投影
Thaumophage,魔力喰らい
Essence Rush,エッセンスラッシュ
Sap Psyche,蝕む精神
Sadist,サディスト
Corrosive Elements,蝕む元素
Doryani's Lesson,ドリヤニの教え
Disorienting Display,狂った視界
Prismatic Heart,プリズマティックハート
Widespread Destruction,広範囲にわたる破壊
Master of Fire,マスターオブファイヤ
Smoking Remains,燻ぶる燃えさし
Cremator,火葬人
Snowstorm,吹雪
Storm Drinker,ストームドリンカー
Paralysis,麻痺
Supercharge,スーパーチャージ
Blanketed Snow,覆いかぶさる雪
Cold to the Core,芯まで冷たい
Cold-Blooded Killer,冷酷な殺人者
Touch of Cruelty,残虐な気配
Unwaveringly Evil,揺るぎない悪
Unspeakable Gifts,言語に絶する贈り物
Dark Ideation,闇の思考
Unholy Grace,不浄な恩寵
Wicked Pall,邪悪な棺
Renewal,再生
Raze and Pillage,破壊と略奪
Rotten Claws,腐敗した鉤爪
Call to the Slaughter,殺戮への呼び声
Skeletal Atrophy,骨萎縮症
Hulking Corpses,どでかい死体
Vicious Bite,酷い噛み傷
Primordial Bond,原初の絆
Blowback,ブローバック
Fan the Flames,火に油を注げ
Cooked Alive,火あぶり
Burning Bright,紅蓮
Wrapped in Flame,火の海
Vivid Hues,鮮やかな色彩
Rend,レンド
Disorienting Wounds,目くらましの傷
Compound Injury,深手
Septic Spells,腐敗性の呪文
Low Tolerance,低い耐性
Steady Torment,絶え間なき苦痛
Eternal Suffering,永遠の苦しみ
Eldritch Inspiration,この世の物ならざる発想
Wasting Affliction,蝕む病
Haemorrhage,出血
Flow of Life,命の流れ
Exposure Therapy,曝露療法
Brush with Death,臨死
Vile Reinvigoration,卑劣な再活性
Circling Oblivion,繰り返す忘却
Brewed for Potency,効能のための醸造
Astonishing Affliction,驚愕の苦痛
Cold Conduction,低温伝導性
Inspired Oppression,触発された弾圧
Chilling Presence,冷たき存在
Deep Chill,染み込む冷気
Blast-Freeze,急冷
Thunderstruck,雷に打たれて
Stormrider,ストームライダー
Overshock,オーバーショック
Evil Eye,邪眼
Whispers of Death,Whispers of Death
Forbidden Words,禁じられた言葉
Dark Discourse,Dark Discourse
Victim Maker,ヴィクティムメイカー
Master of Fear,恐怖の支配者
Wish for Death,死への願望
Heraldry,ヘラルド使い
Endbringer,終焉をもたらす者
Cult-Leader,カルトリーダー
Empowered Envoy,権限を持つ使者
Dark Messenger,闇の使者
Agent of Destruction,破壊の使者
Lasting Impression,余情
Self-Fulfilling Prophecy,自己実現的予言
Invigorating Portents,激励の先触れ
Pure Agony,真の苦痛
Disciples,使徒
Dread March,恐怖の行軍
Blessed Rebirth,祝福された復活
Life from Death,死から流れ出る命
Feasting Fiends,悪魔の宴
Bodyguards,ボディガード
Follow-Through,完遂
Streamlined,流線型
Shrieking Bolts,鏑矢
Eye to Eye,目と目
Repeater,リピーター
Aerodynamics,空力
Chip Away,彫刻
Seeker Runes,シーカールーン
Remarkable,印象的
Brand Loyalty,ブランドロイヤリティ
Holy Conquest,ホーリーコンクエスト
Grand Design,大いなる構想
Set and Forget,放置
Expert Sabotage,妨害の名人
Guerilla Tactics,ゲリラ戦術
Expendability,使い捨て
Arcane Pyrotechnics,アーケーンパイロテクニック
Surprise Sabotage,突然の妨害
Careful Handling,取扱注意
Peak Vigour,最盛期
Fettle,健康
Sublime Sensation,至高の感覚
Surging Vitality,湧き上がる生命力
Peace Amidst Chaos,渦中の安らぎ
Adrenaline,アドレナリン
Wall of Muscle,筋肉の壁
Mindfulness,マインドフルネス
Liquid Inspiration,透明なひらめき
Openness,寛容
Daring Ideas,大胆な発想
Clarity of Purpose,明確な目的
Scintillating Idea,きらめく発想
Holistic Health,全体医療
Genius,天才
Improvisor,即興者
Stubborn Student,強情な生徒
Savour the Moment,瞬間を味わう
Energy From Naught,無から湧くエネルギー
Will Shaper,ウィルシェーパー
Spring Back,跳ね返し
Conservation of Energy,エネルギー保存
Heart of Iron,鉄の心
Prismatic Carapace,プリズムの装甲
Militarism,軍国主義
Second Skin,セカンドスキン
Dragon Hunter,ドラゴンハンター
Enduring Composure,不朽の落ち着き
Prismatic Dance,プリズマティックダンス
Natural Vigour,自然の活力
Untouchable,アンタッチャブル
Shifting Shadow,変化する影
Readiness,迅速
Confident Combatant,大胆な戦闘員
Flexible Sentry,柔軟な見張り
Vicious Guard,凶暴な防御
Mystical Ward,神秘の守り
Rote Reinforcement,機械的補強
Mage Hunter,メイジハンター
Riot Queller,暴動鎮圧者
One with the Shield,盾を持つ者
Aerialist,空中曲芸師
Elegant Form,優雅な動き
Darting Movements,機敏な動き
Molten One's Mark,溶融せし者の印
Fire Attunement,ファイヤーアチューンメント
Pure Might,純粋な力
Blacksmith,鍛冶屋
Non-Flammable,不燃性
Winter Prowler,冬を彷徨う人
Hibernator,冬眠する者
Pure Guile,純然たる狡猾さ
Alchemist,錬金術師
Antifreeze,不凍
Wizardry,魔術
Capacitor,キャパシタ
Pure Aptitude,純粋な才能
Sage,賢者
Insulated,絶縁
Born of Chaos,混沌より生まれし者
Antivenom,血清
Rot-Resistant,防腐剤
Blessed,祝福された
Student of Decay,衰微の弟子
Lord of Drought,渇水の王
Blizzard Caller,吹雪を呼ぶ者
Tempt the Storm,嵐を誘う者
Misery Everlasting,終わりなき悲愴
Exploit Weakness,弱点活用
Self-Control,セルフコントロール
Uncompromising,強硬
Sublime Form,荘厳な構え
Summer Commander,Summer Commander
Winter Commander,Winter Commander
Grounded Commander,Grounded Commander
Attack Damage Mastery,アタックダメージマスタリー
Spell Damage Mastery,スペルダメージマスタリー
Physical Damage Mastery,物理ダメージマスタリー
Chaos Damage Mastery,混沌ダメージマスタリー
Physical Damage over Time Multiplier,Physical Damage over Time Multiplier
Damage over Time Multiplier,Damage over Time Multiplier
Damage over Time Multiplier Mastery,継続ダメージ倍率マスタリー
Projectile Damage Mastery,投射物ダメージマスタリー
Trap and Mine Damage Mastery,トラップ・マインダメージマスタリー
Instruments of Zeal,熱意の道具
"Armour, Life Regeneration",アーマーおよびライフ自動回復
"Mana Regeneration, Arcane Surge Effect",マナ自動回復およびアーケインサージ効果
"Energy Shield, Chaos Damage",エナジーシールドおよび混沌ダメージ
"Energy Shield, Cold Damage",エナジーシールド冷気ダメージ
Blade Sovereign,Blade Sovereign
Call of Steel Speed and Area,Call of Steel Speed and Area
Hex Area of Effect and Faster Doom Gain,呪術効果範囲および破滅獲得速度
Heart of Destruction,破壊の中心
Bastion of Elements,元素の要塞
"Elemental Damage, Fire Damage over Time Multiplier",元素ダメージおよび火継続ダメージ倍率
"Elemental Damage, Lightning Ailment Effect",元素ダメージおよび雷系状態異常効果
"Elemental Damage, Cold Ailment Effect",元素ダメージおよび冷気系状態異常効果
Shaper of Flames,炎を生む者
Shaper of Storms,嵐を形作る者
Shaper of Winter,冬を形作る者
"Armour and Evasion, Impale Chance",アーマー・回避力および串刺し確率
"Armour and Evasion, Fortify Effect","Armour and Evasion, Fortify Effect"
"Critical Strike Chance, Elusive Effect",クリティカル率および身躱し効果
"Flask Effect, Poison Duration",フラスコ効果および毒持続時間
"Attack and Cast Speed, Damage","Attack and Cast Speed, Damage"
"Evasion, Onslaught Effect","Evasion, Onslaught Effect"
"Projectile Damage, Mark Cast Speed",投射物ダメージおよび呪印キャストスピード
Rupturing,破裂させる
"Projectile Damage, Mirage Archer Duration",投射物ダメージおよびミラージュアーチャー持続時間
Occupying Force,占領軍
"Projectile Damage, Projectile Speed",投射物ダメージ・スピード
Focal Point,焦点
Wind Ward,風の守り
Flask Charges Gained,フラスコ獲得チャージ
Reduced Reservation,Reduced Reservation
Physical Damage and Strength,物理ダメージおよび筋力
Mine Damage and Reduced Reservation,Mine Damage and Reduced Reservation
Axe and Sword Mastery,Axe and Sword Mastery
Dual Wield Mastery,Dual Wield Mastery
Flask Mastery,フラスコマスタリー
Life and Reduced Cost,ライフおよびコスト低下
